block_end_hr,feature_index,feature,importance,norm_importance
36,3,lv_l20,0.0001412949204677716,0.0294027719668785
36,4,SIQ,0.00024889703490771353,0.051794238153755466
36,5,SIQ_delta,0.0006305546266958117,0.1312152895519412
36,6,SIQ_theta,0.0004670604830607772,0.09719296937718667
36,7,SIQ_alpha,0.00024855081574060023,0.05172219166271747
36,8,SIQ_beta,0.00014308211393654346,0.029774678061230846
36,9,BCI,0.0002780434733722359,0.05785946739895313
36,10,BSAR,9.473563409301278e-07,0.00019714015458962281
36,11,d0MaxAmp,1.1374720543244621e-07,2.3670229135822e-05
36,12,d0MeanMaxAmp,1.0790012083816691e-07,2.2453479839899104e-05
36,13,d0VarMaxAmp,2.5789915980567457e-08,5.366753568430952e-06
36,14,d0VarMeanAmp,1.8117443101317576e-09,3.770150026394209e-07
36,15,d0VarVarAmp,1.0332269262391947e-08,2.150093973773052e-06
36,16,d0MeanVarAmp,3.988636532170631e-09,8.300154742004626e-07
36,17,d0MaxMaxFourAmp,1.1103254848876531e-07,2.3105322493607932e-05
36,18,d0MeanMaxFourAmp,2.4906094608923013e-07,5.182834725744439e-05
36,19,d0VarMaxFourAmp,1.1985473724607232e-09,2.494117620597846e-07
36,20,d1MaxAmp,3.448119656468407e-08,7.175365939413021e-06
36,21,d1MeanMaxAmp,9.925544830480248e-09,2.0654566373049968e-06
36,22,d1VarMaxAmp,1.118534265209803e-09,2.327614313962926e-07
36,23,d1VarMeanAmp,6.528108720260661e-09,1.3584670378904137e-06
36,24,d1VarVarAmp,7.701287607631002e-09,1.6025997440592413e-06
36,25,d1MeanVarAmp,1.489329903847647e-08,3.099221642314718e-06
36,26,d1MaxMaxFourAmp,8.062710499245895e-09,1.6778100547383606e-06
36,27,d1MeanMaxFourAmp,5.7679958587186775e-09,1.200291322422226e-06
36,28,d1VarMaxFourAmp,6.144291297971449e-09,1.278596536480146e-06
36,29,d2MaxAmp,3.6488710719595474e-08,7.593119675511442e-06
36,30,d2MeanMaxAmp,3.891646827014483e-08,8.098323977360016e-06
36,31,d2VarMaxAmp,8.183530297856123e-09,1.702952055426425e-06
36,32,d2VarMeanAmp,7.557895642662515e-09,1.5727605875354744e-06
36,33,d2VarVarAmp,1.9236628290286717e-08,4.003046911795502e-06
36,34,d2MeanVarAmp,3.750034593963392e-08,7.803635945947632e-06
36,35,d2MaxMaxFourAmp,1.1898400487098115e-08,2.475998111853847e-06
36,36,d2MeanMaxFourAmp,5.122751289832195e-08,1.0660191287791188e-05
36,37,d2VarMaxFourAmp,6.5762351120213225e-09,1.3684819012545226e-06
36,38,linelengthmean,5.035246886109235e-08,1.0478098964850907e-05
36,39,kurtavg,1.3123673170412076e-06,0.00027309712785144496
36,40,shanavg,5.346515674631291e-09,1.1125833871316147e-06
36,41,nlemean,1.0147100937274445e-08,2.111561363960227e-06
36,42,nleavgstd,7.463031082011184e-09,1.5530197430993476e-06
36,43,deltakurtosis,3.0327249987749383e-05,0.006310950265021776
36,44,thetakurtosis,0.00018456172256264836,0.03840637883059371
36,45,alphakurtosis,0.00011221127351745963,0.02335060932427115
36,46,betakurtosis,9.142133058048785e-05,0.019024325340696334
36,47,deltameanrat,0.0002441246178932488,0.050801121849626436
36,48,thetameanrat,5.3597181249642745e-05,0.011153307515468364
36,49,alphameanrat,6.414515519281849e-05,0.013348288563173568
36,50,betameanrat,1.2580135262396652e-05,0.0026178637364186463
